,date,time,open,high,low,close,feature1,feature2,feature3,tick,tick_variation,datetime
1,2023-11-29,02:15:00,2038.5,2042.2,2037.5,2042.2,1,1,1,76222,0.00023618018033247202,2023-11-29 02:15:00
2,2023-11-29,02:30:00,2042.3,2046.2,2042.2,2046.2,1,1,1,76241,0.00024924080069729104,2023-11-29 02:30:00
3,2023-11-29,02:45:00,2046.3,2049.2,2045.1,2048.6,1,1,1,76253,0.00015738324163276513,2023-11-29 02:45:00
4,2023-11-29,03:00:00,2048.7,2053.8,2048.7,2053.0,1,1,1,76274,0.00027536108535123385,2023-11-29 03:00:00
5,2023-11-29,03:15:00,2053.1,2054.5,2049.5,2054.1,1,1,1,76280,7.866067101607227e-05,2023-11-29 03:15:00
6,2023-11-29,03:30:00,2054.4,2055.7,2050.8,2054.5,1,1,1,76282,2.6218848731921304e-05,2023-11-29 03:30:00
7,2023-11-29,03:45:00,2054.6,2055.0,2048.7,2048.7,1,1,1,76253,-0.00038024060509922594,2023-11-29 03:45:00
8,2023-11-29,04:00:00,2048.8,2049.7,2045.5,2049.3,1,1,1,76256,3.9341940480704045e-05,2023-11-29 04:00:00
9,2023-11-29,04:15:00,2049.5,2051.5,2047.7,2049.2,1,1,1,76256,0.0,2023-11-29 04:15:00
10,2023-11-29,04:30:00,2049.2,2049.6,2045.7,2048.3,1,1,1,76251,-6.557076070983669e-05,2023-11-29 04:30:00
11,2023-11-29,04:45:00,2048.3,2050.2,2046.3,2047.5,1,1,1,76248,-3.934452029702556e-05,2023-11-29 04:45:00
12,2023-11-29,05:00:00,2047.6,2051.1,2046.7,2051.0,1,1,1,76265,0.0002229318165717897,2023-11-29 05:00:00
13,2023-11-29,05:15:00,2051.0,2052.6,2049.6,2049.8,1,1,1,76259,-7.867614281152961e-05,2023-11-29 05:15:00
14,2023-11-29,05:30:00,2049.9,2050.7,2047.3,2048.3,1,1,1,76251,-0.00010491115346321968,2023-11-29 05:30:00
15,2023-11-29,05:45:00,2048.3,2051.3,2046.9,2051.3,1,1,1,76266,0.00019669938496519828,2023-11-29 05:45:00
16,2023-11-29,06:00:00,2051.4,2052.5,2050.4,2052.5,1,1,1,76272,7.866892188290897e-05,2023-11-29 06:00:00
17,2023-11-29,06:15:00,2052.5,2052.5,2048.1,2048.4,1,1,1,76252,-0.00026225381073962875,2023-11-29 06:15:00
18,2023-11-29,06:30:00,2048.5,2050.7,2048.3,2050.2,1,1,1,76261,0.00011802272606865103,2023-11-29 06:30:00
19,2023-11-29,06:45:00,2050.2,2053.5,2049.5,2053.3,1,1,1,76276,0.00019667359458165758,2023-11-29 06:45:00
20,2023-11-29,07:00:00,2053.5,2054.4,2053.0,2053.0,1,1,1,76274,-2.6220911178169096e-05,2023-11-29 07:00:00
21,2023-11-29,07:15:00,2053.0,2053.0,2050.6,2052.4,1,1,1,76271,-3.933265594265772e-05,2023-11-29 07:15:00
22,2023-11-29,07:30:00,2052.4,2052.4,2046.3,2048.1,1,1,1,76250,-0.00027537191773858104,2023-11-29 07:30:00
23,2023-11-29,07:45:00,2048.2,2051.7,2048.1,2051.7,1,1,1,76268,0.00023603771467727445,2023-11-29 07:45:00
24,2023-11-29,08:00:00,2052.0,2052.5,2050.9,2051.3,1,1,1,76266,-2.6223661611340816e-05,2023-11-29 08:00:00
25,2023-11-29,08:15:00,2051.3,2051.3,2048.7,2050.2,1,1,1,76261,-6.556216278807216e-05,2023-11-29 08:15:00
26,2023-11-29,08:30:00,2050.2,2057.7,2049.4,2057.0,1,1,1,76294,0.00043263086119384853,2023-11-29 08:30:00
27,2023-11-29,08:45:00,2057.0,2061.8,2055.2,2060.5,1,1,1,76311,0.00022279741909260917,2023-11-29 08:45:00
28,2023-11-29,09:00:00,2060.5,2060.5,2056.7,2058.7,1,1,1,76302,-0.00011794539142061697,2023-11-29 09:00:00
29,2023-11-29,09:15:00,2058.7,2059.6,2055.9,2059.6,1,1,1,76306,5.242189139394184e-05,2023-11-29 09:15:00
30,2023-11-29,09:30:00,2059.6,2059.6,2053.1,2056.4,1,1,1,76291,-0.00019659626399351444,2023-11-29 09:30:00
31,2023-11-29,09:45:00,2056.5,2058.3,2054.7,2055.6,1,1,1,76287,-5.243219862516471e-05,2023-11-29 09:45:00
32,2023-11-29,10:00:00,2055.9,2057.8,2055.1,2056.3,1,1,1,76290,3.932440669805837e-05,2023-11-29 10:00:00
33,2023-11-29,10:15:00,2056.4,2057.1,2053.0,2057.1,1,1,1,76294,5.243013685473332e-05,2023-11-29 10:15:00
34,2023-11-29,10:30:00,2057.1,2061.4,2054.9,2060.7,1,1,1,76312,0.00023590160391433104,2023-11-29 10:30:00
35,2023-11-29,10:45:00,2060.7,2069.7,2060.1,2069.4,1,1,1,76354,0.0005502207572034102,2023-11-29 10:45:00
36,2023-11-29,11:00:00,2069.4,2069.4,2065.4,2066.3,1,1,1,76339,-0.00019647266146121618,2023-11-29 11:00:00
37,2023-11-29,11:15:00,2066.3,2069.6,2063.7,2063.7,1,1,1,76326,-0.00017030753652005995,2023-11-29 11:15:00
38,2023-11-29,11:30:00,2063.7,2066.9,2060.6,2064.4,1,1,1,76330,5.2405408250191835e-05,2023-11-29 11:30:00
39,2023-11-29,11:45:00,2064.5,2072.3,2061.7,2064.7,1,1,1,76331,1.3100922960139151e-05,2023-11-29 11:45:00
40,2023-11-29,12:00:00,2064.7,2064.7,2058.7,2062.8,1,1,1,76322,-0.0001179144859311776,2023-11-29 12:00:00
41,2023-11-29,12:15:00,2062.8,2063.1,2053.7,2054.2,1,1,1,76280,-0.0005504515151897444,2023-11-29 12:15:00
42,2023-11-29,12:30:00,2054.2,2056.3,2043.6,2043.9,1,1,1,76230,-0.000655694732035921,2023-11-29 12:30:00
