date,time,open,high,low,close,feature1,feature2,feature3
20231129,02:00:00,2046.2,2046.7,2037.5,2038.5,1,1,1
20231129,02:15:00,2038.5,2042.2,2037.5,2042.2,1,1,1
20231129,02:30:00,2042.3,2046.2,2042.2,2046.2,1,1,1
20231129,02:45:00,2046.3,2049.2,2045.1,2048.6,1,1,1
20231129,03:00:00,2048.7,2053.8,2048.7,2053,1,1,1
20231129,03:15:00,2053.1,2054.5,2049.5,2054.1,1,1,1
20231129,03:30:00,2054.4,2055.7,2050.8,2054.5,1,1,1
20231129,03:45:00,2054.6,2055,2048.7,2048.7,1,1,1
20231129,04:00:00,2048.8,2049.7,2045.5,2049.3,1,1,1
20231129,04:15:00,2049.5,2051.5,2047.7,2049.2,1,1,1
20231129,04:30:00,2049.2,2049.6,2045.7,2048.3,1,1,1
20231129,04:45:00,2048.3,2050.2,2046.3,2047.5,1,1,1
20231129,05:00:00,2047.6,2051.1,2046.7,2051,1,1,1
20231129,05:15:00,2051,2052.6,2049.6,2049.8,1,1,1
20231129,05:30:00,2049.9,2050.7,2047.3,2048.3,1,1,1
20231129,05:45:00,2048.3,2051.3,2046.9,2051.3,1,1,1
20231129,06:00:00,2051.4,2052.5,2050.4,2052.5,1,1,1
20231129,06:15:00,2052.5,2052.5,2048.1,2048.4,1,1,1
20231129,06:30:00,2048.5,2050.7,2048.3,2050.2,1,1,1
20231129,06:45:00,2050.2,2053.5,2049.5,2053.3,1,1,1
20231129,07:00:00,2053.5,2054.4,2053,2053,1,1,1
20231129,07:15:00,2053,2053,2050.6,2052.4,1,1,1
20231129,07:30:00,2052.4,2052.4,2046.3,2048.1,1,1,1
20231129,07:45:00,2048.2,2051.7,2048.1,2051.7,1,1,1
20231129,08:00:00,2052,2052.5,2050.9,2051.3,1,1,1
20231129,08:15:00,2051.3,2051.3,2048.7,2050.2,1,1,1
20231129,08:30:00,2050.2,2057.7,2049.4,2057,1,1,1
20231129,08:45:00,2057,2061.8,2055.2,2060.5,1,1,1
20231129,09:00:00,2060.5,2060.5,2056.7,2058.7,1,1,1
20231129,09:15:00,2058.7,2059.6,2055.9,2059.6,1,1,1
20231129,09:30:00,2059.6,2059.6,2053.1,2056.4,1,1,1
20231129,09:45:00,2056.5,2058.3,2054.7,2055.6,1,1,1
20231129,10:00:00,2055.9,2057.8,2055.1,2056.3,1,1,1
20231129,10:15:00,2056.4,2057.1,2053,2057.1,1,1,1
20231129,10:30:00,2057.1,2061.4,2054.9,2060.7,1,1,1
20231129,10:45:00,2060.7,2069.7,2060.1,2069.4,1,1,1
20231129,11:00:00,2069.4,2069.4,2065.4,2066.3,1,1,1
20231129,11:15:00,2066.3,2069.6,2063.7,2063.7,1,1,1
20231129,11:30:00,2063.7,2066.9,2060.6,2064.4,1,1,1
20231129,11:45:00,2064.5,2072.3,2061.7,2064.7,1,1,1
20231129,12:00:00,2064.7,2064.7,2058.7,2062.8,1,1,1
20231129,12:15:00,2062.8,2063.1,2053.7,2054.2,1,1,1
20231129,12:30:00,2054.2,2056.3,2043.6,2043.9,1,1,1
20231129,12:45:00,2044,2047.5,2043.3,2046.4,1,1,1
20231129,13:00:00,2046.4,2050.9,2044.3,2050.8,1,1,1
20231129,13:15:00,2050.9,2053,2049.6,2051.5,1,1,1
20231129,13:30:00,2051.5,2054.9,2050.2,2053.1,1,1,1
20231129,13:45:00,2053.2,2054.2,2050.6,2051.1,1,1,1
20231129,14:00:00,2051.1,2053.3,2049.5,2050.1,1,1,1
20231129,14:15:00,2050.2,2055.5,2048.5,2055.5,1,1,1
20231129,14:30:00,2055.6,2056.2,2055.5,2056.2,1,1,1
20231129,16:00:00,2050.1,2050.1,2050.1,2050.1,1,1,1
20231129,16:15:00,2050.3,2051.4,2047.8,2050.3,1,1,1
20231129,16:30:00,2050.4,2050.6,2042.7,2043.8,1,1,1
20231129,16:45:00,2043.7,2043.7,2031.8,2034.6,1,1,1
20231129,17:00:00,2034.2,2038.1,2021.5,2022.8,1,1,1
20231129,17:15:00,2022.8,2026.1,2018.5,2025.2,1,1,1
20231129,17:30:00,2025.2,2032.8,2021.8,2029.2,1,1,1
20231129,17:45:00,2029.3,2032,2027.3,2029.3,1,1,1
20231129,18:00:00,2029.4,2031.8,2021.8,2022.5,1,1,1
